LABELS	Non Pregnant Non Smokers	Non Pregnant Smokers	Pregnant Non Smokers	Pregnant Smokers
Copri	0.85563	0.05127	0.0931	0
Intermedia	0.96822	0.0045	0.0096	0.01768
Melaninogenica	0.34734	0.13065	0.29636	0.22564
Nanceiensis	0.54174	0	0.42809	0.03016
Nigrescens	0.46952	0.17257	0.13326	0.22464
Pallens	0.27603	0.02592	0.26358	0.43447
Spp.	0.23481	0.26424	0.19119	0.30976
Stercorea	0	0	0.65699	0.34301
